,External_ID,Contents
0,rec_06_audio_8.wav,<>
1,rec_06_audio_6.wav,<>
2,rec_06_audio_0.wav,ড়॥়‚দ‚ড় ৰউড়lড়য়নফ়‚aড়য়পড়াটয়ঁদ‚অগয়নঙlআয়জঝরৎফড়ঊঅড়ঊনগফlড়স জউফড় অঁগঊঅঘফড়॥ছঅlড়াড়ুঅৈআউড়॥পইaায়নউড়পইইঅগপঅ‚ড়ঙঅইঙঁধlaড়থজউজগঁঅড়হaগড়ৈধঁঁড় উঊইড়া উফউড়lৈঅlড় দউ‚অগফড়ঊaaড়ইঙllড়ঙঊউঅঃদ‚ঃঁদ‚aড়ঙlনগঅড়ঙঝঅগঅনড়pউড়ইঅঝদয়গlঅড়ইঃয়অঃফউড়উঙঅইঁদ‚অই অউ‚অ।ড়
3,rec_06_audio_5.wav,ঊঅড় অফউড় ঝফড়ই অয়নফড় উঝঅlড়lইঅড়ঃফ‚ফড়—‚টaৎঊআঁ‚ড়lঅআঊজগ‚ড়দয়উ‚দঊড়lঅঘঅআড় ঊঅড়সহগঅআউউড়ঃউইযড়‚উaঁফড়ঙঝফঙজগঘফউড়ায়নউড় উ‚ইঅড়টগড়শয়অlদ‚ড়ইঅlঙগফউড়ঁউবঁঅউগ।ড়
4,rec_06_audio_3.wav,lঊaঊয়নফংফউড়টঅঊগয়নড়পজউধজড়ঊa‚ গইৰঁঊফঊড়ঘজইaগঁ‚ঙনফড়হaগঊঃদ‚ঘউঘl‚ফউড় দউ‚দয়ড়ঙ‚ঊ়গফহaড়lফড়য়ঝফফড়ঁঁদ‚অসউঅড়poঢঙঁইঅউড়ঁউঊঅয়নড়সুঅড়ঙফঃফড়pঅড়lঅপউড়—ুঅগঅঁফগফউড়ঃজঊaকড়সউঅড়য়উঝlফড়আধব‚ঙউড় উঊঅয়ন।ড়
5,rec_06_audio_2.wav,ঃঅনড়ঘaউদইঙয়‚অআয়নঅউড়ঙহফফড়্ড়y়llঘদ‚ইড় অড়lইফড়‚ ৈফড়গফপগফাড়টaহফাঅড়॥উঙঅঘঅঁয়ফড়॥ঁlড়ইঙঅpউঊঅlঘa‚ফড়ঁউফড়সঙalllঅসৈঅlবড়lপউঙড়ঃকঊঅঊঃঅউ‚ড়ঙlফড় ঙফআড়lদয়‚অড় য়নবদ‚‚সুঅড়‚দউজুa‚ড়উঅৈঅউফড়ঃউছঅ ফয়নফড়yগফগউঅ।ড়
6,rec_06_audio_1.wav,নগঅয়নঝইজঁউঅইদঊউউড়য়অগঅylদয়ড়ছফগফউগঅ উয়জঁদ‚aড়ৈঅঁইঅড়ঝlঙ‚দয়ড়ই‚অড়ঁগঁড়laঊঅ‚দউlঅড়য়‚অগফয়নঅআয়নড়উজইlঅয়অড়ঁpllফহঅনড়‚অউঅড়ylয়ঙড়ইড়্গদয়ফড়উবঁড় দউইইঙয়ফউড়ঁ ড়গয়নlঅগযড়থজউদ‚aফড়yথঅড়থজউউড়ঁউফ।ড়
7,rec_06_audio_22.wav,—lদয়অড়ঙলফylজঊঅউঅড়lফ‚দউlফউড় ফঃদ‚aুaড়॥পউদ‚গযড়়অ aঘড়্অয়নফড়ঃদছa‚ঁ ঊফ‚aড়ঃগঊধদ‚aসআড়ঁখঝজউaধদুফড়সঁুaঝফড়ৈইগঅড়॥ঙlদ়গ‚ড়ঙঅঁউফ।ড়
8,rec_06_audio_14.wav,অড়ঁুদ‚অড়ঙউ‚সনঅউ উফড়সউঅড়সসঁঝlড়ইউউaড়উফড়ঁদগঅড় দউ‚aথঅড়‚উুফড়ঙায়নঅউড়ঙaঃফঊঅউঅড়ঙয়নফহফড়॥ুড়ঊঅ—lগঅট‚ড়ইaড়সঊউফগঅঘঅংaড়উউঘঅড়pগফড়ইaঙ দউঊঅুঅড় অঃ অঁa‚ফlড়ঙয়নঁগঅপড়ঁlজঊঅঝঅড়হaগড়ঘইঅড়ঊaয়নঅগড়ঁউফাঃঁফড়yই অআঃaগ।ড়
9,rec_06_audio_21.wav,অড়ঊঙlড়ঙয়নঃদ‚অড়টৈঅগদয়য়নঅৈঁঅগফড়॥আঃছফ‚গঅ জ‚ঊ‚ড়ঊহউঅউড়ঁlড়ড়ঁউফড়ঘজঊগফড়ঝইইlঅঢফ‚উইফঃ‚ড়ঘযঊlড়ঊঙঘযগড়l‚ঁয়গঅpঅউঘফঙউড়‚অঝফপউড় অ‚ফউয়ফঝঅlaড় অনউড়টঅ দউঁহফঘফফড়yঃইজঃফুআঊয়নড়াঝlঊঙaধয়নফটa‚ফয়নঅড়lঅড়ঙউফড়aঃজড়oউaৈঅউড়ঊঅড়॥ঊaঃগঅ‚ড়ঙঅঊফউড়॥ইড়ঁঅউফড়
