External_ID,contents
rec_01_audio_0,"কোগোয়ালাম, তুমরার সাথে মাঠবালে গ্যান। মতিরামান নামান সুফিয়া দুরু। মতিরামান নাম সুফিয়া খালি সুফিয়া ফারুসিলায়।"
rec_01_audio_1,"নাই, আরা দ্বিতা, না উজুর মানুষ। কে আরা যারেজনায়। আমন কিছু না তুমি কীতে খোরণ আ খোরণ জামের বাড়ি বা ফেরবাড়ি ফুল আলে কেমনে সময়ে খাটাও ইত্যিয়েরকি।"
rec_01_audio_10,"তুমিতে গানা তা-কোমি নেতে ওয়ার মেল ফেরে গেয়েত্র আই দর্দত নেতা হিয়ে, আমার সাথে যেট করে তাহে, মিযেত্রিঘের তোট ফারিয়ারার সাথেও মনেন তব্বললোপ বাড়়তা হোক।"
rec_01_audio_11,"এরা মানয় হরে বলো লুকমানু সাহিসে, না এরত মানয় হরে বেটি হান ক্ষত আড়ানে থাকে।"
rec_01_audio_12,"অগো উফলার নাম কিতার হুই তায়না তো আম। অগোলনাম আবুসাইদ আবনাম। আছে। বাড়িত গাই ফতুমেই কিতা ফরসক, কিরহোন লাখসভায় করেছাড়।"
rec_01_audio_13,"গুহ, বাল্যাক্ত নেগে, দিয়া ওতোঃ নেই, মারামাড়ি শবের টায় কথাকয়কটে লেখ যেত তবে যাবে মারামাড়ি লেয়া কোপ।"
rec_01_audio_14,তোনি যা তোনি যা তোমার ব্যার আগে কে রকমা আছিলেন দেব পরে কেটা ময়ে। জনি।
rec_01_audio_15,"দুরু, তোমার জাময় হত বালা, চিহ্নিত্ব কর্যাজক।"
rec_01_audio_16,পালানি লাগে
rec_01_audio_17,"এছিলে তন্ত্বন যাময়েলে হোক, কিনা হোম কীতা খড়ে না হরে। হোসে কীতা খড়ে কিছু স্কৃতি আছে না কুন হানো গুর্স হোসো যাময়েলে।"
rec_01_audio_18,"আর কৃতে খেতা খরচু, ‘অদ্যিন ব্যয়োজাখালী’ একটা ঐ বলেন সৃতি, হল্লাভ হল্লাভ।"
rec_01_audio_19,এই সিলেটত্র সুন্দুর গুড়া নির্জালাতে সিলেলেল ডাউন্নির্কানে।
rec_01_audio_2,"তের ফুলাকী তাই ওখনও সামলায়নি লাগে নি।তে তো হোন উদ্যোস সামলায়নি লাগে না।দের সমলায়নি লাগে না, এরা দেখাশুনো ফোন লাগে না।"
rec_01_audio_20,সিলার কোট সুন্দর গুটানের জায়গে থাকার জায়গে আমি দুগুলে।
rec_01_audio_21,"বাক্রিতাসে না, সুনামগর ঝাওয়াওর দেন, এই হাওরত্বই হোরসিলো জায়িতা, করে একদির রাত্রে তাহন লগ্য- টাঙ্গোর আওর, হাওর বসিদেদে। আমি হত্বই জায়িতা, হযেতে, এরা সবা গিয়েছে ও পিশাস সবা গিয়েছে মাম হোসিয় আইয়েখ বনমীম বনমীম বনমীম বনমীম বনমীম ব�"
rec_01_audio_22,"নেসুরুতে হনে আমা যাওল্লাত নার্গোল, ঐড়োধ্যে ব্যয়েলেই স্বাধীন অতান্যায়, করানোর জামায়া-শায়ায় মৃত্যেহলে যে বামার জামায়ও, নানন্য প্রতাম মেয়ে রাচতা গুরাণী লক্তানা, মেয়ে হবয়েই শারদনি বাসা যেকে দাখেযে রাজন্য।"
