External_ID,contents
rec_01_audio_3,"পরিয়া তারপরে লেশনীলাম কিছুবন্ড রেশনেও অভড়ে মনোলিকা ফ্রদান্ড বিকাল টাইমে উঠলাম, এটি আ নামাজটামাজ পরললাম, নামাজটামাপস পরিয়া ছাড়া নাস্তাপল লাম, পরিয়া আবহালা রাখকে আমরা ভূমিকাল আমবাশ ফতাঁদ্য।"
rec_01_audio_0,"য়ঃহ্য হোন চেয়ন, আপনের দিন-কান দিনকাল কিলাহান জায়েত্রেই। বালাদার, বাক্তর বালাদার। আপনার কীতে অবস্থা? আপনার বালাভাসে।"
rec_01_audio_1(1),"মূল্পার জুটিও হরি জুটিও বাড়ির আর্টোয়ার ভেগে প্রদানের সক্ষকৃত উপালা আছে, সব মিলাইয়া, কোষক্ষক্ষকোপালা আছে, সবলে এর আকি? আপনারদের এখানও খামটাম হরুণ কিলাখিভাবে।"
rec_01_audio_1,"মূল্পার জুটিও হরি জুটিও বাড়ির আর্টোয়ার ভেগে প্রদানের সক্ষকৃত উপালা আছে, সব মিলাইয়া, কোষক্ষক্ষকোপালা আছে, সবলে এর আকি? আপনারদের এখানও খামটাম হরুণ কিলাখিভাবে।"
rec_01_audio_2,কোনবালা আইনিক্তিভাবে ডিউটি ডিউটি করে চোখিন চেন।
rec_01_audio_0(1),"য়ঃহ্য হোন চেয়ন, আপনের দিন-কান দিনকাল কিলাহান জায়েত্রেই। বালাদার, বাক্তর বালাদার। আপনার কীতে অবস্থা? আপনার বালাভাসে।"
rec_01_audio_8,"সুন্দাভাবনাও ঈসিকিয়া আইমি মাদ্রাসাত ফরাই, মাদ্রসাত ফরাই, মাদ্রাসিন্দা তারা, আর আর পাশাপাশিকে বড়াউফ বাবহেল এলে জাখাযেই মাদ্রসাত ফরাই মোহার ইচ্ছে আছে।"
rec_01_audio_11,"আলাম্দুল্লাহ আল-আলা আস শবর, এটা নড়িজের যাস্তানো আছি হন সব একক উইকেসি আমরা, আলাদ আলাদ আলাদ কেসি, কিন্তু আমরা শবর মিল আস, মিল মোহাম্মদ আস।"
rec_01_audio_10,আওর ভাষা আঘান্তীন উত্তর্না জারা।সাসা ছিলি তা হলে।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।�
rec_01_audio_16,কীতা মতামত কয়েছে নিট্র।
